id;tidak_baku;baku
581;gimana;bagaimana
583;mhon;mohon
584;krn;karena
585;kmarin;kemarin
586;pengen;ingin
587;nyoba;coba
588;aeah;arah
589;kek;kayak
590;bye;by
591;nny;tanya
592;mkasi;terima kasih
593;hsil;hasil
594;pmsngan;pemasangan
595;mnjual;menjual
596;produk2;produk
597;berkbar;berkabar
598;tmbhn;tambahan
599;jrak;jarak
600;launhcing;diluncurkan
601;lepas;setelah
602;rambu2;rambu
603;titik2;titik
604;abak;anak
605;kl;kalau
606;sebsiknya;sebaiknya
607;user;pengguna
608;xprience;pengalaman
609;daei;dari
610;mjd;menjadi
611;lap;lapangan
612;lintasannyo;rutenya
613;bun;bus trans
615;anak2;anak
616;sgera;segera
617;penbayaran;pembayaran digital
618;operansionalno;operasionalnya
619;jadih;jadi
620;sakurang²no;minimal
621;sajo;saja
622;mamudahkan;memudahkan
623;panumang;penumpang
624;aamiin;amin
625;apaa;apa
626;adikk;adik
627;kalo;kalau
628;maku;maju
630;sm;sama
631;min;admin
632;mimin;admin
633;kaa;kakak
634;tmbah;tambah
635;g;tidak
636;tggu;tunggu
637;ato;atau
638;dsebut;disebut
639;skrng;sekarang
640;blm;belum
641;double;dua kali
642;pembayarannnya;pembayarannya
643;k1maupun;k1 maupun
644;tambahin;tambahkan
645;pas;saat
646;sebel;sebal
647;upload;posting
648;perencanaanny;perencanaannya
649;masjid;mesjid
650;deket;dekat
651;job;kerja
652;dtgnya;datangnya
653;ibu2;ibu
654;m9hon;mohon
655;segarakan;segerakan
656;mulu;melulu
657;emang;memang
658;klou;kalauu
659;damin;admin
660;ciek;satu
661;diagih;diberi
662;tau;tahu
663;harusnyo;harusnya
664;tampek;tempat
665;gaek2;tua
666;urg2;orang
667;lubeg;lubuk begalung
668;naikin;naik
669;kate;kata
670;adoh;ada
671;lamo;lama
672;jarah;jarak
674;makasii;terima kasih
675;tang;yang
676;sikon;situasi dan kondisi
677;maleh;malas
678;honda;motor
679;ajg;anjing
680;liak;lagi
681;td;tadi
682;ma;mana
683;stangah;setengah
684;lancing;diluncurkan
685;patang;kemarin
687;startnya;mulainya
688;brizz;brizzi
689;ditunggggu;ditunggu
690;miminn;admin
691;rbocoran;bocoran
692;perberhentiannyo;pemberhentiannya
693;tenkyuu;terima kasih
694;kananpenurunan;kanan penurunan
695;tepedekat;trans padang dekat
696;martjalan;mart jalan
697;brp;berapa
698;spill;bocoran
699;bbrp;beberapa
700;udahh;sudah
701;hooh;oke
702;tenan;sangat
703;dibenerin;diperbaiki
704;transnyo;transnya
705;sekaleeeee;sekali
706;wkt;waktu
707;sngt2;sangat
708;tsb;tersebut
709;lum;belum
710;bilangin;bilang
711;dh;sudah
712;org;orang
713;nihterkait;nih terkait
714;papan;plang
715;yaa;ya
716;pulng;pulang
717;smpe;sampai
718;yaaaa;ya
719;jkt;jakarta
720;rasany;rasanya
721;minn;admin
722;rang;orang
723;kedepanya;kedepannya
724;iyo;iya
726;bna;banget
727;lb;lubuk
728;ac;penyejuk udara
729;gituh;begitu
730;exclusive;eksklusif
732;iv;4
733;hahahahaha;haha
734;worth;berharga
735;seroo;seru
736;wokwok;wkwk
737;mesih;mesin
738;errror;eror
739;ntar;nanti
740;scan;pindai
741;ngelaporin2;melaporkan
742;konter;balas
744;trun;turun
745;trangsaksi;transaksi
746;laaahh;lah
747;asih;masih
748;jarus;harusnya
749;20k;20000
750;adm;administrasi
751;2rb;2 ribu
752;siaapa;siapa
753;penumppang;penumpang
754;some;sampai
755;ngoceh;mengoceh
756;komen;komentar
757;dsni;disini
759;hahahaha;haha
760;uneg2;uneg uneg
761;menyampaiakn;menyampaikan
762;tks;terima kasih
763;minjem;pinjam
764;gitu;begitu
765;jga;juga
766;kagak;tidak
767;ajaa;saja
768;aka;saja
769;naiki;naik
770;datengnya;datangnya
771;nentu;menentu
772;dateng;datangnya
773;dibales;dibalas
774;proud;bangga
775;kya;kayak
776;you;kamu
777;team;tim
778;emg;memang
779;msdnya;maksudnya
780;sero;seru
781;wkwkkw;wkwk
782;wkwkwk;wkwk
783;donggg;dong
784;mantafff;mantap
785;hmpirt;hampir
786;bsuak;besok
787;karajo;kerja
788;payah;susah
789;unand;universitas andalas
791;angkot;angkutan kota
792;perasi;gratis
793;mon;admin
794;niiih;nih
795;naek;naik
796;eonni;kakak
797;mode;seperti
798;puskota;pusat kota
799;pasabaru;pasar baru
800;lgsg;langsung
801;buss;bus
802;pke;pakai
803;ulkar;ulak karang
804;yahh;yah
805;utk;untuk
806;klonaik;kalau naik
807;brizindk;brizzi
808;aka;akal
809;waaahh;wah
810;pasara;pasar
811;kmrn;kemarin
812;dalan;dalam
815;yuhuu;yuhu
816;nihhh;nih
818;spay;shopeepay
820;top;isi
821;up;ulang
822;topup;isi ulang
823;iyaa;iya
824;wkeke;wkwk
825;bndara;bandara
826;gt;gitu
827;pdhl;padahal
828;hrusnya;harusnya
829;diskuisi;diskusi
830;sntai;santai
831;aktf;aktif
832;ngelolan;pengelola
833;bahaahahaha;haha
834;gatakut;tidak takut
835;hahhaa;haha
836;bgsd;bangsat
837;provider;pemberi layanan
838;pasarraya;pasar raya
839;jugak;juga
840;jadiny;jadinya
841;widihh;widih
842;smpg;simpang
843;tag;tandai
844;padangselanjutnya;padang selanjutnya
845;mensurvey;menyurvei
846;dijkt;di jakarta
847;spertinya;seperti
848;support;mendukung
849;lansung;langsung
850;randah;rendah
851;mbaa;mbak
852;tapii;tapi
853;shoppe;shopee
854;ulth;ulang tahun
855;perai;gratis
856;prj;pekan raya jakarta
858;vi;6
859;prjlanan;perjalanan
860;terliht;terlihat
861;sgt;sangat
862;nth;entah
863;ntah;entah
864;trselesaikan;terselesaikan
865;blum;belum
866;gass;gas
867;healing;penyembuhan
868;awokawok;wkwk
870;nyeh;nya
871;baitu;begitu
872;tapotong;terpotong
873;cash;uang tunai
874;gaaaas;gas
875;peray;gratis
876;tangguang;tanggung
877;dl;dahulu
878;supayo;supaya
879;ilang;hilang
880;rasaki;rezeki
881;sekrut;rekrut
882;makin;semakin
883;teruss;terus
884;dg;dengan
885;kesalahn;kesalahan
886;sya;saya
887;caption;keterangan
888;wali;walikota
889;bana;banget
890;ibuk;ibu
891;anck;lebih bagus
892;betchul;betul
893;sekaliii;sekali
894;rs;rumah sakit
895;talambek;terlambat
896;bialah;biarlah
897;sagat;sangat
898;dijam;di jam
899;mantul;mantap betul
900;ditraining;dilatih
901;kenayaman;kenyamanan
902;lubuak;lubuk
903;pauah;pauh
904;babeda;berbeda
905;mbah;mbak
906;tnpa;tanpa
907;wowwww;wow
908;tanyaa;tanya
909;makasih;terima kasih
910;travelingnya;berpergiannya
911;ngalah;mengalah
912;agatr;agar
913;insya;insyaallah
914;ngab;abang
915;ditnya;ditanya
916;jdi;jadi
917;simpg;simpang
918;untk;untuk
921;poltek;politeknik
922;ii;2
923;pp;pulang pergi
924;raun;jalan jalan
925;ngebul;mengepul
926;hehehe;haha
927;update;memperbarui
928;gratisin;gratiskan
930;mambuek;membuat
931;namuah;mau
932;diaja;dikasih tahu
933;ikolah;inilah
934;batua;betul
935;emng;memang
936;mato;mata
937;komen²;komentar
938;sinan;sana
939;manyarengeh;menyeringai
940;piti;uang
941;saja;saja
942;julid;dengki
943;mangareh;keras kepala
944;gini;begini
945;wkwkwkwk;wkwk
946;namo;nama
947;bayian;bayarkan
948;gratisan;gratiskan
949;mambayian;membayarkan
950;bayianyo;bayarnya
951;sagitu;segitu
952;labiahnyo;lebihnya
953;bayarin;membayarkan
954;saribu;seribu
955;sangko;kira
956;cadiak;cerdik
957;stek;sedikit
958;surang;sendiri
960;carengeh;menyeringai
961;lahia;lahir
962;agus;agustus
963;kayakayk;kayak
964;transjkarta;trans jakarta
965;suko;suka
966;meralisasiakan;merealisasikan
967;bukkiting;bukittinggi
968;kntr;kantor
969;termsk;termasuk
970;gretong;gratis
971;lagee;lagi
972;bemer;benar
974;ee;nya
975;gulo2;permen
976;sakampuang;sekampung
977;pado;pada
978;emany;emoney
979;malawak;melucu
980;oklah;oke
981;wkwkkwk;wkwk
982;bacarilah;dicarilah
983;kepeng;uang
984;kaleee;kali
985;karateh;kertas
986;onkos;ongkos
988;ambo;saya
989;indk;tidak
990;dmsli;domisili
992;ala;sudah
993;kiroe;kiranya
995;pabanyak;perbanyak
996;wkwkkkwk;wkwk
997;bestayy;teman
998;kren;keren
999;suruah;suruh
1000;kaja;kejar
1001;mangecek;bicara
1002;inpo;informasi
1004;tl;teluk
1005;lbh;lebih
1006;suroboyo;surabaya
1008;hut;hari ulang tahun
1009;nayiak;naik
1010;nichh;nih
1011;adoohhh;aduh
1012;nihh;nih
1013;sabuik;sebut
1014;seindo;se indonesia
1015;kecauhan;kejauhan
1016;bim;bandar udara internasional minangkabau
1017;kmbli;kembali
1018;apakabar;apa kabar
1019;green;hijau
1020;kaffan;kapan
1022;inieh;inilah
1023;ak;aku
1024;malaz;malas
1025;angkhot;angkutan kota
1027;hadehhh;hadeh
1028;edit;perbaiki
1029;iyokan;iya
1030;kau;kamu
1031;usah;perlu
1032;kw;kamu
1033;bodat;monyet
1034;dri;dari
1035;gw;saya
1036;takutin;takutkan
1037;tutor;tutorial
1038;yahhh;yah
1039;jatii;jati
1040;apk;aplikasi
1041;post;unggah
1042;top;bagus
1043;beraatt;berat
1044;dekku;adek ku
1047;yeeey;yey
1048;cashh;uang tunai
1049;gasi;tidak sih
1050;nii;ini
1051;pnting;penting
1052;drpda;daripada
1053;operasionalny;operasionalnya
1054;yeayy;yey
1055;gituu;gitu
1056;byarannya;bayarannya
1057;dngna;dengan
1058;mksih;terima kasih
1059;ancang;persiapan
1060;soalnyaa;soalnya
1061;mahsiswa;mahasiswa
1062;students;pelajar
1063;baokan;bawakan
1064;operasinya;operasionalnya
1065;kemngkinan;kemungkinan
1066;muko;depan
1067;usu;universitas sumatera utara
1068;kesihan;kasihan
1069;mencapi;mencapai
1070;jadii;jadi
1071;perusahan;perusahaan
1072;setauu;setahu
1073;collab;kolaborasi
1074;gtuuuu;gitu
1076;forgot;lupa
1077;where;dimana
1078;nicee;bagus
1079;ngekost;mengindekoskan
1080;kos;indekos
1081;pantesann;pantas
1082;pantesan;pantas
1083;mnta;minta
1084;kpda;kepada
1085;sktrnya;sekitarnya
1086;cwe;perempuan
1087;nm;nama
1088;tlong;tolong
1089;tinggalin;tinggalkan
1090;aj;saja
1091;orgnya;orangnya
1092;klw;kalau
1093;mnuju;menuju
1094;mmpun;kemana pun
1095;dibls;dibalas
1096;dm;pesan langsung
1097;jlas;jelas
1098;heheh;haha
1099;bayiekan;bayarkan
1100;apakko;bapak ini
1101;disnaker;dinas tenaga kerja
1102;parahhhh;parah
1103;onde;ondeh
1105;ondeeeh;ondeh
1106;lagibada;lagi ada
1107;sbulan;sebulan
1108;jlur;jalur
1109;bkin;buat
1110;napa;kenapa
1111;aktiv;aktif
1113;pewe;posisi enak
1114;busui;ibu menyusui
1115;moms;ivu
1116;puol;banget
1117;adamya;adanya
1118;sja;saja
1119;pk;pakai
1120;danjalan;dan jalan
1121;besangkutan;bersangkutan
1122;polapikir;pola pikir
1123;kolor;celana dalam
1124;lambok;basah
1125;sarawa;celana
1126;gasss;gas
1128;eboh;heboh
1129;angku;kamu
1130;ikuang;ekormu
1131;cfd;hari tanpa kendaraan bermobil
1132;public;publik
1133;hahah;haha
1134;adek;adik
1135;kiro2;kira
1136;kadiv;ketua divisi
1137;ngaret;terlambat
1138;seriusnanya;serius bertanya
1139;nyangkuik2;tersangkut
1141;slah;salah
1142;pdo;pada
1144;btnyo;bertanya
1145;kyk;kayak
1146;ambi;saya
1147;aado;ada
1148;progul;program unggulan
1149;sanang;senang
1152;adonyo;adanya
1153;cool;keren
1154;mamak;ibu
1155;sanangkang;senangkan
1156;kominfo;komunikasi dan informasi
1159;termaksih;terima kasih
1160;nyaa;nya
1161;minnn;admin
1162;apopun;apapun
1163;tauu;tahu
1164;jugaa;juga
1165;bynyak;banyak
1166;brta;berita
1167;nyaaa;nya
1168;berfikir;berpikir
1169;sajaa;saja
1170;kamii;kami
1171;kominfooo;komunikasi dan informasi
1172;yoo;ya
1173;termksh;terima kasih
1174;infonyo;informasinya
1175;mmbntu;membantu
1176;ongkod;ongkos
1177;hoax;tidak benar
1178;dr;dari
1179;pcyo;percaya
1180;mnyiarkan;menyiarkan
1181;hahahhaa;haha
1182;ngeleeees;cari alasan
1183;hahahahha;haha
1184;bok;bawa
1185;lun;belum
1186;sado;semua
1187;mangko;maka
1188;dipasoan;dipaksakan
1189;baraja;belajar
1190;caro;cara
1191;pengelolaannyo;pengelolaannya
1192;malala;jalan jalan
1193;tiok;tiap
1194;ultah;ulang tahun
1196;2hri;2 hari
1197;ntuk;untuk
1198;msuk;masuk
1199;maslhnyo;masalahnya
1200;woow;wow
1202;aowkwkw;wkwk
1203;ndee;ondeh
1204;agiah;beri
1206;mpe;sampai
1209;hayalan;khayalan
1210;unjung;ujung
1211;endingnya;akhirnya
1212;lh;sudah
1213;ngapo;kenapa
1215;diagiah;diberi
1216;jantuang;jantung
1217;sampilik;pelit
1218;namoe;namanya
1219;ketibannya;ketibaannya
1220;dsbnya;dan sebagainya
1221;jpo;jembatan penyeberangan orang
1222;thn;tahun
1223;pikian;pikirkan
1224;jatua;jatuh
1225;balubang2;berlubang
1226;saketek;sedikit
1227;banyaknyo;banyaknya
1228;llos;lolos
1229;jogging;joging
1230;dimna;dimana
1231;halteny;haltenya
1232;mantaaapppppp;mantap
1233;asek;asik
1234;bosqu;bos ku
1235;ibuk2;ibu
1236;bagusslahhh;baguslah
1237;rancak;bagus
1238;tamanuang;termenung
1239;sajak;sejak
1240;pakkkk;bapak
1241;beginis;begini
1242;melangggar;melanggar
1243;wak;kita
1244;serobot;menyerobot
1245;aass;pass
1247;kerterapasaan;keterpaksaan
1248;matian;matikan
1249;broo;abang
1250;cuboann;cobakan
1251;bangg;abang
1252;jugaaa;juga
1253;smg;semoga
1254;masi;masih
1255;uneng2;unek
1256;dlm;dalam
1257;bgt;banget
1258;klo;kalau
1259;jaleh;jelas
1260;gapernah;tidak pernah
1261;pikia;pikir
1262;jk;jika
1263;cm;cuma
1264;jwb;jawab
1265;aseek;asik
1266;infonya;informasinya
1267;byk;banyak
1269;fingin;dingin
1270;kapa;kapan
1271;ditggu;ditunggu
1272;donk;dong
1274;adain;adakan
1275;interviw;wawancara
1276;lowker;lowongan kerja
1277;iajazah;ijazah
1278;loker;lowongan kerja
1279;tanggapin;tanggapi
1280;ijin;izin
1281;gangguin;mengganggu
1282;via;melalui
1284;imporve;ditingkatkan
1285;hallo;halo
1286;trouble;bermasalah
1287;running;berjalan
1288;text;teks
1289;dsiko;disini
1290;sdng;sedang
1291;akuu;aku
1292;medio;media
1293;grand;utama
1294;loncing;rilis
1295;biasonyo;biasanya
1296;maa;mana
1297;tabali;terbeli
1298;buk;ibu
1299;talat;telat
1300;bayarnyo;bayarnya
1301;kito;kita
1302;rsi;rumah sakit islam
1303;jl;jalan
1304;klau;kalau
1305;pembayarah;pembayaran
1306;barapa;berapa
1307;ramein;ramai
1308;kalou;kalau
1309;kdang;kadang
1310;brdoa;berdoa
1311;krna;karena
1312;trnyata;ternyata
1313;manta;mantan
1314;dirut;direktur utama
1315;britanya;beritanya
1316;transpdg;trans padang
1317;goodluck;semoga beruntung
1318;dunsanak;saudara
1319;kasadonyo;semuanya
1320;bunguih;bungus
1321;alum;belum
1322;jadul;zaman dulu
1323;bileh;boleh
1324;simpamg;simpang
1325;hlte;halte
1326;bunguihh;bungus
1327;polsek;kepolisian sektor
1328;tajun;terjun
1329;kenyaman;kenyamanan
1330;terbaikk;terbaik
1331;progulnya;program unggulannya
1332;bainciak;berdempetakn
1333;kdg;kadang
1334;wlwpun;walaupun
1335;isiny;isinya
1336;padek;padat
1337;sasak;sesak
1338;sampiak;sempit
1339;susahny;susahnya
1340;mokasi;terima kasih
1341;cepet;cepat
1342;minfo;admin
1344;waahh;wah
1345;karu;kartu
1346;mokasih;terima kasih
1347;waaah;wah
1348;banaaa;banget
1349;menginfokan;menginformasikan
1350;taraso;terasa
1351;no;tidak
1352;dihidupke;dihidupkan
1353;papo;apa
1354;ngandalke;mengandalkan
1355;olehnyo;olehnya
1356;kemenhub;kementrian perhubungan
1357;pacak;bisa
1358;idak;tidak
1359;inii;ini
1360;jalaur;jalur
1361;banyakk;banyak
1362;le;ke
1363;uga;juga
1364;well;baik
1365;noted;dicatat
1366;gtu;gitu
1367;maapkan;maafkan
1368;pembayaranny;pembayarannya
1369;soalny;soalnya
1370;trkhir;terakhir
1371;bkm;belum
1372;apalgi;apalagi
1373;bole;boleh
1374;dikit;sedikit
1375;sdh;sudah
1376;oprasional;operasional
1377;dipoll;di pangkalan
1378;ham;jam
1379;ataau;atau
1380;mnghiraukan;menghiraukan
1381;karancakan;kecantikan
1382;paniang;pusing
1383;basalahan;menyalahkan
1384;beypass;bypass
1387;mngkin;mungkin
1388;hbs;habis
1389;baijazah;punya ijazah
1390;siko;sini
1391;paliang;paling
1392;seirimg;seiring
1393;kanor;kantor
1394;belakngnya;belakangnya
1395;jidad;dahi
1396;kpd;kepada
1397;banya;banyak
1398;mamberikan;memberikan
1399;slalu;selalu
1400;kadi;jadi
1401;orange;oranye
1402;narek;tarik
1403;training;pelatihan
1404;dishub;dinas perhubungan
1405;sampik;sempit
1406;angek;panas
1407;oyong;huyung
1408;tibo;tiba
1409;nyupir;mengendarai
1410;banak;otak
1411;penyesak;mendesak
1412;menyesak;mendesak
1413;nyesak;desak
1414;reot;tua
1415;korupci;korupsi
1416;liat;lihat
1417;setujuu;setuju
1418;bangettt;banget
1419;riil;asli
1420;sayng;sayang
1421;rilll;asli
1422;malem;malam
1423;steba;siteba
1424;kamaa;kemana
1425;lewatnyo;lewatnya
1426;yes;iya
1427;pemda;pemerintah daerah
1428;dapek;dapat
1429;kmna;kemana
1430;sgtu;segitu
1431;oren;oranye
1432;hrs;harus
1433;msak;masa
1434;ush;perlu
1435;mkin;semakin
1436;trs;terus
1437;deal;sepakat
1438;nga;tidak
1439;bangeeeet;banget
1440;ditambahin;ditambah
1441;typo;salah tulis
1442;tranpadang;trans padang
1443;batat;barat
1444;trams;trans
1445;padamg;padang
1447;view;pemandangan
1448;cakep;bagus
1449;gmn;bagaimana
1450;tk;terima kasih
1451;shelternya;haltenya
1452;mhn;mohon
1453;pasbar;pasar baru
1454;krjo;kerja
1455;sia;siapa
1457;mantab;mantap
1458;ngabung;gabung
1459;lokernya;lowongan kerjanya
1460;thun;tahun
1461;beraktifts;beraktifitas
1462;laiii;lagi
1463;dinote;dicatat
1464;bukik;bukit
1465;taluak;teluk
1466;bayua;bayur
1467;kariang;kering
1468;karingek;keringat
1469;crnya;caranya
1470;kab;kabupaten
1471;sabuah;sebuah
1472;bakurang;berkurang
1473;ojol;ojek online
1474;tutuik;tutup
1475;abihan;menghabiskan
1476;kart;kartu
1477;cb;coba
1478;bhwa;bahwa
1479;pd;pada
1480;bnr;benar
1481;bgi;bagi
1482;trprhtikan;terperhatikan
1483;aceeh;aceh
1484;mudhan;mudah mudahan
1485;brizzy;brizzi
1486;taplau;tepi laut
1487;sbg;sebagai
1488;pemerintha;pemerintah
1489;mentraining;pelatihan
1490;umr;upah minimum regional
1491;lalin;lalu lintas
1492;jangkar;jangka
1493;wahh;wah
1494;start;mulai
1495;traveller;wisatawan
1496;thanks;terima kasih
1497;sngat;sengat
1498;trus;terus
1500;apolo;apa pula
1501;door;pintu
1502;marketnya;pasarnya
1503;knapa;kenapa
1504;rejeki;rezeki
1505;komplen;mengadu
1506;nymbuang;menyambung
1507;karumah;ke rumah
1508;pemberhrntianyo;pemberhentiannya
1509;tujuannyo;tujuannya
1510;nyambung;menyambung
1511;juony;juga
1512;jawek;jawab
1513;bng;abang
1514;ptg;kemarin
1515;cmn;cuman
1516;tengok;lihat
1517;jlan;jalan
1518;anbil;ambil
1519;hnya;hanya
1520;transmar;transmart
1521;paru;baru
1522;mgkn;mungkin
1523;dikasi;dikasih
1524;petugaa;petugas
1525;inyo;dia
1526;baranti;berhenti
1527;dampai;sampai
1528;kabunguih;ke bungus
1529;bapitih;punya uang
1530;tanianyo;teraniaya
1531;maabisan;menghabiskan
1532;jaek;jahat
1533;kakk;kakak
1534;kasitu;kesana
1535;wkwkwkwkw;wkwk
1536;siapp;siap
1537;x;kali
1538;kapadang;ke padang
1539;kudet;kurang mengetahui informasi terbaru
1540;pasaraya;pasar raya
1541;dekar;dekat
1542;btw;omong omong
1543;lope;suka
1544;tq;terima kasih
1545;mamikian;memikirkan
1546;tagarubuak;terjatuh
1547;jaih;jadi
1548;nda;tidak
1549;mambunuah;membunuh
1550;ruma;rumah
1551;santa;sebentar
1553;rmah;rumah
1554;taxi;taksi
1555;knp;kenapa
1556;taruih;terus
1557;nyooo;nya
1558;pakk;bapak
1559;jaln;jalan
1560;balanjo;belanja
1561;mantaaaaaap;mantap
1562;syekaliiii;sekali
1563;horeee;hore
1564;baurang;ada orang
1565;ari;hari
1566;alang;kemarin
1567;brapa;berapa
1568;bnyk;banyak
1569;test;tes
1570;tayo;trans padang
1571;bertambaj;bertambah
1572;transportsi;transportasi
1573;drvr;sopir
1574;angkt;angkutan kota
1575;yv;yang
1576;rjute;rute
1577;olh;oleh
1578;sana;disana
1579;kereeennn;keren
1580;mantaaaap;mantap
1581;hahahahahaha;haha
1582;sibisbiru;trans padang
1583;duo;dua
1584;saarah;searah
1585;muta;putar
1586;mutar;berputar
1588;kapa;kapal
1589;barangkek;berangkat
1590;dsana;disana
1591;mantaaappp;mantap
1592;tran;trans padang
1593;ig;instagram
1594;makasi;terima kasih
1595;dapatin;mendapatkan
1596;dmna;dimana
1597;dmnalagi;dimana lagi
1598;bg;abang
1599;po;apa
1600;tuak;datuak
1601;please;mohon
1602;share;bagikan
1603;dunk;dong
1604;my;ku
1605;for;untuk
1606;uo;up
1607;kanai;kena
1608;hasihan;kasihan
1609;antum;kamu
1610;akuh;aku
1611;fotoin;fotokan
1612;sdg;sedang
1613;shibook;sibuk
1614;jni;ini
1615;waduuh;waduh
1616;opr;operasional
1617;jm;jam
1618;transpdgnya;trans padangnya
1619;ngelewatin;melewatkan
1620;tdi;tadi
1621;nunggu;tunggu
1622;mind;admin
1623;hinga;hingga
1624;apaan;apa
1625;staff;staf
1626;kpn;kapan
1627;elo;kamu
1628;hehehehe;hehe
1629;ama;sama
1630;ehh;eh
1631;lnsg;langsung
1632;meniyakan;mengiyakan
1633;mrk;mereka
1634;tlp;telepon
1635;tmnnya;temannya
1636;mkshnya;terima kasih
1637;pkilah;pakailah
1638;nungu;tunggu
1639;tangung;tanggung
1640;mancalon;mencalonkan diri
1641;suak;besok
1642;walkot;wali kota
1643;goooooo;ini
1644;beresss;beres
1645;perumda;perusahaan umum daerah
1646;japuik;jemput
1647;ni;kakak
1648;limo;lima
1649;baleh;belas
1650;minik;menit
1651;ternyapa;ternyata
1652;nanggung;tanggung
1653;ngambil;mengambil
1654;kasihaan;kasihan
1655;tu;itu
1656;mlm;malam
1657;pngurus;pengurus
1658;ngapain;apa
1659;baco;baca
1660;cawako;calon wali kota
1661;maagiakan;memberikan
1662;wako;wali kota
1663;mamilah;memilah
1665;sbab;sebab
1666;ngeluh;mengeluh
1667;shere;bagikan
1668;kringek;keringat
1669;gannnn;juragan
1670;bato;bagaimana
1671;urng;orang
1672;tabayiaaa;terbayarkan
1673;punyo;punya
1674;bgmna;bagaimana
1675;gan;juragan
1676;auto;otomatis
1677;real;asli
1678;mandan;komandan
1679;up;naik
1680;nak;anak
1681;awak;saya
1682;kecekan;bilang
1683;wakot;wali kota
1684;wakilny;wakilnya
1685;shg;sehingga
1686;sagalo;segala
1687;hahaahahah;haha
1688;sekda;sekretaris daerah
1689;wali;wali kota
1690;haahha;haha
1691;mendadtar;mendaftar
1692;ealikota;wali kota
1693;wakilnyo;wakilnya
1694;jatuah;jatuh
1695;nampaknyo;nampaknya
1696;batinggaan;ditinggalkan
1697;mnggu;minggu
1698;tapay;tapai
1699;yo;ya
1700;trm;terima
1701;badak;bedak
1702;nangeeees;menangis
1703;luntuuur;luntur
1704;menangiiiiiiiiiiissss;menangis
1705;nanya;tanya
1706;sabananya;sebenarnya
1707;manejemen;manajemen
1708;jalehan;jelaskan
1709;mak;ibu
1710;kacaaaauuuu;kacau
1711;duni;dunia
1712;menteri;mentri
1713;kebtkp;ke tempat kejadian perkara
1714;bgtu;begitu
1715;missinformasi;salah informasi
1716;diklatifikasi;diklarifikasi
1717;ngadu;mengadu
1718;kesiapa;ke siapa
1719;payahhhhhhh;payah
1720;patuiklah;patutlah
1721;bakelok;berbelok
1722;bw;bawa
1723;malayang;melayang
1724;nyobtd;nya tadi
1725;bayialah;bayarlah
1726;jariah;jerih
1727;sabanano;sebenarnya
1728;harusno;harusnya
1729;bahaso;bahasa
1730;uda;abang
1731;nampak;tampak
1732;bikinlah;buatlah
1733;yah;ya
1734;biaan;biarkan
1735;rato2;rata rata
1736;ampiang;hampir
1737;tbo2;tiba tiba
1738;srempet;serempet
1739;pemkotnyo;pemerintah kota nya
1740;takalok;tertidur
1741;mbk;mbak
1742;igg;instagram
1743;add;tambahkan
1744;yn;yang
1745;bat;banget
1746;w;saya
1747;bantuannyo;bantuannya
1748;caritonyo;ceritanya
1749;bayiaa;bayar
1750;woii;woi
1751;basasak;didesak
1752;bakaluaan;dikeluarkan
1753;bln;bulan
1754;baypas;bypass
1755;mngkn;mungkin
1756;management;manajemen
1757;langang;sepi
1758;tatutuik;tertutupi
1759;laii;lagi
1760;hobby;hobi
1761;mambae;mengambil
1762;complaint;komplain
1763;gblk;goblok
1764;hoooo;ho
1765;ready;siap
1766;bakureh;kerja keras
1767;maagiah;memberi
1768;keluarganyo;keluarganya
1769;utak;otak
1770;gunoanlah;gunakanlah
1771;masalh;masalah
1772;kongkalengkongnya;perhitungannya
1773;beginian;begini
1774;enteng;mudah
1775;sopirnyo;sopirnya
1776;bantuak;bentuk
1777;laiiii;lagi
1778;wahhh;wah
1779;sketek;sedikit
1780;ditarimo;diterima
1781;malamar;melamar
1782;ooh;oh
1783;baputa;berputar
1784;sabilah;bisalah
1785;capekselah;cepat sajalah
1786;angk;angkutan kota
1787;samo2;sama sama
1788;taula;tahu lah
1789;onlen;online
1790;mahaaa;mahal
1791;takao;kuat
1792;apolae;apalagi
1793;indaruang;indarung
1794;uanand;universitas andalas
1795;pacapek;percepat
1796;bia;biar
1797;mancuboan;mencobakan
1798;jauah2;jauah jauah
1799;mantulll;mantap betul
1800;akhirnyaaa;akhirnya
1801;bestie;sahabat
1802;nxa;nya
1803;kaba;kabar
1804;gn;gunung
1805;ssahhh;sah
1806;tuuuuu;itu
1807;sakali;sekali
1808;capek;cepat
1809;selah;sajalah
1810;3sangah;tiga ribu lima ratus
1811;ank2;anak anak
1812;mendptkan;mendapatkan
1813;tungu;tunggu
1814;dinanana;dimananya
1815;dpt;dapat
1816;lu;kamu
1817;nakss;anak
1818;marasai;menderita
1819;ijau;hijau
1820;kendraan;kendaraan
1821;fresh;baru
1822;news;berita
1823;pemkab;pemerintah kabupaten
1824;tuk;untuk
1825;perum;perusahaan umum
1826;hiduik;hidup
1827;bis;bus
1828;semogaaa;semoga
1829;nihhhh;nih
1830;rami;ramai
1831;penumpangnyo;penumpangnya
1832;samakin;semakin
1833;manangih;menangis
1834;ngelamar;melamar
1835;u;untuk
1836;dipikiaan;dipikirkan
1837;kmehan;selesaikan
1838;sdoalhnyo;semuanya
1839;tamba;tambah
1840;Terniayalah;teraniaya
1841;jaman;zaman
1842;byak;banyak
1843;smo;sama
1844;mhsiswa;mahasiswa
1845;bruak;buruk
1846;kba;kabar
