id;tidak_baku;baku
3162;mantulity;mantap betul
3163;wkwkk;wkwk
3164;rang;orang
3165;indomart;indomaret
3166;alpamart;alfamart
3167;dekk;adik
3168;panggilun;pangilun
3169;weeehh;weh
3170;nihhh;nih
3171;meiyakan;mengiyakan
3172;statusna;statusnya
3173;ngadi;ada
3174;dar;dari
3175;carany;caranya
3176;liat;lihat
3177;xperience;pengalaman
3178;diperbaharui;diperbarui
3179;cangkeh;cengkeh
3180;pnp;politeknik negeri padang
3181;apaiin;digesek
3182;semiga;semoga
3183;kabulin;kabulkan
3184;and;dan
3185;dku;dahulu
3186;unek2;uneg
3187;tracking;lacak
3188;ngisi;mengisi
3189;verai;gratis
3190;some;sampai
3191;ngadat;macet
3192;abis;habis
3193;permasalahin;permasalahkan
3194;uneng;uneg
3195;disinisin;sinis
3196;luarkota;luar kota
3197;satndar;standar
3198;remdah;rendah
3199;lahh;lah
3200;apan;apa
3201;improve;meningkat
3202;ksnaa;kesana
3203;bengek;lucu
3204;anakny;anaknya
3205;kandangin;masukkan ke kandang
3206;wisatanyo;wisatanya
3207;pengin;ingin
3208;surek;surat
3209;gua;aku
3210;wkwkk;wkwk
3211;weeehh;weh
3212;oala;oalah
3213;there;disana
3214;yuk;ayo
3215;mudh;mudah
3216;trmksh;terima kasih
3217;mayan;lumayan
3218;dis;dinas
3219;hub;perhubungan
3220;gub;gubernur
3221;raun;jalan jalan
3222;cpek;lelah
3223;emotenya;emoji nya
3224;mbaaa;mbak
3225;maksudnyo;maksudnya
3226;sanakkk;saudara
3227;kedtangan;kedatangan
3228;abanng;abang
3229;chasless;non tunai
3230;busnyo;busnya
3231;harapannyo;harapannya
3232;kmna;kemana
3233;mnt;menit
3234;harusny;harusnya
3235;kuyy;ayo
3236;makkkk;ibu
3237;kesiniiii;kesini
3238;lhooo;loh
3239;bngt;banget
3240;ngegesek;menggesek
3241;dunsanak;saudara
3242;otonyo;mobilnya
3243;kemenkes;kementrian kesehatan
3244;bngus;bungus
3245;syekaliii;sekali
3246;ahahha;haha
3247;yeeeee;yee
3248;sambooknum;sambo oknum
3249;masyaallaaahh;masyaallah
3250;poltekkes;politeknik kesehatan
3251;wkwkqkk;wkwk
3252;waaaaa;wah
3253;lahhhh;lah
3254;asik;asyik
3255;agamo;agama
3256;brangkat;berangkat
3257;univ;universitas
3258;asa;asal
3259;fasilitasnyaaa;fasilitasnya
3260;biskita;bus kita
3261;iiaa;iya
3262;flatform;platform
3263;jadwalny;jadwalnya
3264;doank;doang
3265;nurunin;menurunkan
3266;nampung;tampung
3267;sii;sih
3268;bagussslahhh;baguslah
3269;free;gratis
3270;day;hari
3271;car;mobil
3272;direkturnyo;direkturnya
3273;strowberryyy;stroberi
3274;mamiliah;memilih
3275;nangis;menangis
3276;menungguny;menunggunya
3277;miin;admin
3278;mancontoh;mencontoh
3279;mengartiskan;menggratiskan
3280;menggadu;mengadu
3281;mngambil;mengambil
3282;mnt;menit
3283;mutar;putar
3284;muter;putar
3285;mudhan;mudahan
3286;mslhnyo;masalahnya
3287;manager;manajer
3288;mampet;mampat
3289;nagih;tagih
3290;maatur;mengatur
3291;maksdnya;maksudnya
3292;maks;maksimal
3293;mantapp;mantap
3294;magrib;maghrib
3295;masashaaallah;masyaallah
3296;maap;maaf
3297;adaaaa;ada
3298;mantaaap;mantap
3299;masrayakat;masyarakat
3300;masalahnyo;masalahnya
3301;masyatakat;masyarakat
3302;manyambuang;menyambung
3303;manjadi;menjadi
3304;pai2;pergi pergi
3305;pakir;parkir
3306;panumpang;penumpang
3307;pakek;pakai
3308;pangalan;pangkalan
3309;pancaharian;pencarian
3310;pamntai;pantai
3311;palang;plang
3312;many;money
3313;pa;papa
3314;org2;orang
3315;jlnny;jalannya
3316;dipekan;di pekanbaru
3317;pasarnyo;pasarnya
3318;mepet;pepet
3319;pemikirannyo;pemikirannyo
3320;paramugara;pramugara
3321;operasinal;operasional
3322;laporin;laporkan
3323;payment;pembayaran
3324;partner;rekan
3325;nanyain;bertanya
3326;nggg;tidak
3327;ngerti;mengerti
3328;ngerasa;merasa
3329;ngejoki;menjoki
3330;ngasih;memberi
3331;ngaruh;mempengaruhi
3332;nengok;menengok
3333;nyediakan;menyediakan
3334;ngalamin;mengalami
3335;nyampein;menyampaikan
3336;ngumpul;mengumpulkan
3337;nampakny;nampaknya
3338;okay;oke
3339;kyknya;kayaknya
3340;leave;meninggalkan
3341;loundry;laundry
3342;jauah;jauh
3343;kesiniii;kesini
3344;keknyo;kayaknya
3345;kerennn;keren
3346;nunggunya;menunggunya
3347;nyetir;menyetir
3348;kajadian;kejadian
3349;kbunguih;ke bungus
3350;kenceng;kencang
3351;kabalimbing;ke belimbing
3352;langsnung;langsung
3353;kmren;kemarin
3354;kondidor;koridor
3355;knpa;kenapa
3356;komen2;komen
3357;kmna2;kemana
3358;kmana;kemana
3359;klaksonin;klakson
3360;kirony;kiranya
